area,year,quarter,count
Phetchabun,2020,q1,38
Phetchabun,2020,q2,179
Phetchabun,2020,q3,360
Phetchabun,2020,q4,32
Phetchaburi,2019,q1,129
Phetchaburi,2019,q2,94
Phetchaburi,2019,q3,214
Phetchaburi,2019,q4,211
Phetchaburi,2020,q1,61
Phetchaburi,2020,q2,37
Phetchaburi,2020,q3,98
Phetchaburi,2020,q4,62
Phichit,2019,q1,53
Phichit,2019,q2,34
Phichit,2019,q3,81
Phichit,2019,q4,44
Phichit,2020,q1,38
Phichit,2020,q2,45
Phichit,2020,q3,133
Phichit,2020,q4,52
Phitsanulok,2019,q1,46
Phitsanulok,2019,q2,74
Phitsanulok,2019,q3,242
Phitsanulok,2019,q4,124
Phitsanulok,2020,q1,59
Phitsanulok,2020,q2,146
Phitsanulok,2020,q3,393
Phitsanulok,2020,q4,79
Phrae,2019,q1,15
Phrae,2019,q2,81
Phrae,2019,q3,223
Phrae,2019,q4,38
Phrae,2020,q1,7
Phrae,2020,q2,17
Phrae,2020,q3,130
Phrae,2020,q4,10
Phuket,2019,q1,62
Phuket,2019,q2,45
Phuket,2019,q3,66
Phuket,2019,q4,64
Phuket,2020,q1,29
Phuket,2020,q2,33
Phuket,2020,q3,31
Phuket,2020,q4,6
Prachin Buri,2019,q1,103
Prachin Buri,2019,q2,230
Prachin Buri,2019,q3,536
Prachin Buri,2019,q4,121
Prachin Buri,2020,q1,49
Prachin Buri,2020,q2,109
Prachin Buri,2020,q3,286
Prachin Buri,2020,q4,29
Prachuap Khiri Khan,2019,q1,58
Prachuap Khiri Khan,2019,q2,96
Prachuap Khiri Khan,2019,q3,71
Prachuap Khiri Khan,2019,q4,50
Prachuap Khiri Khan,2020,q1,17
Prachuap Khiri Khan,2020,q2,13
Prachuap Khiri Khan,2020,q3,36
Prachuap Khiri Khan,2020,q4,30
Ranong,2019,q1,42
Ranong,2019,q2,74
Ranong,2019,q3,45
Ranong,2019,q4,12
Ranong,2020,q1,15
Ranong,2020,q2,52
Ranong,2020,q3,37
Ranong,2020,q4,20
Ratchaburi,2019,q1,345
Ratchaburi,2019,q2,171
Ratchaburi,2019,q3,476
Ratchaburi,2019,q4,401
Ratchaburi,2020,q1,162
Ratchaburi,2020,q2,137
Ratchaburi,2020,q3,236
Ratchaburi,2020,q4,66
Rayong,2019,q1,162
Rayong,2019,q2,395
Rayong,2019,q3,792
Rayong,2019,q4,450
Rayong,2020,q1,198
Rayong,2020,q2,523
Rayong,2020,q3,882
Rayong,2020,q4,205
Roi Et,2019,q1,134
Roi Et,2019,q2,701
Roi Et,2019,q3,1066
Roi Et,2019,q4,267
Roi Et,2020,q1,90
Roi Et,2020,q2,343
Roi Et,2020,q3,465
Roi Et,2020,q4,44
Sa Kaeo,2019,q1,84
Sa Kaeo,2019,q2,351
Sa Kaeo,2019,q3,501
Sa Kaeo,2019,q4,126
Sa Kaeo,2020,q1,56
Sa Kaeo,2020,q2,120
Sa Kaeo,2020,q3,175
Sa Kaeo,2020,q4,25
Sakon Nakhon,2019,q1,28
Sakon Nakhon,2019,q2,203
Sakon Nakhon,2019,q3,160
Sakon Nakhon,2019,q4,9
Sakon Nakhon,2020,q1,11
Sakon Nakhon,2020,q2,81
Sakon Nakhon,2020,q3,57
Sakon Nakhon,2020,q4,5
Samut Prakan,2019,q1,159
Samut Prakan,2019,q2,54
Samut Prakan,2019,q3,210
Samut Prakan,2019,q4,328
